test,Abbr,unit,normalrange,group
Urinanalysis ,Urin.A,,"Working Days: Sat. Sun. Mon. Thu. Wed. Teu. 
Days to Report: 2",urin
Color ,u.Color,,"Working Days: Everyday
Days to Report: ",urin
Appearance ,u.Appear,,"Working Days: Everyday
Days to Report: ",urin
Sp.Gravity ,uSG,,"Working Days: Everyday
Days to Report: 
1.003-1.030",urin
Ph,u.pH,,"Working Days: Everyday
Days to Report: 
4.5-8",urin
Protein ,u.Pro,,"Working Days: Everyday
Days to Report: 
Negative",urin
Glucose ,u.Gluc,,"Working Days: Everyday
Days to Report: 
Negative",urin
Ketone,u.Keto,,"Working Days: Everyday
Days to Report: 
Negative",urin
Blood,u.Blood,,"Working Days: Everyday
Days to Report: 
Negative",urin
Nitrite ,u.Nitrite,,"Working Days: Everyday
Days to Report: 
Negative",urin
Bilirubin,u.Bili,,"Working Days: Everyday
Days to Report: 
Negative",urin
Urobilinogen ,u.Urobili,,"Working Days: Everyday
Days to Report: 
Negative",urin
R.B.C ,u-RBC,,"Working Days: Everyday
Days to Report: 
<4/hpf",urin
W.B.C ,u-WBC,,"Working Days: Everyday
Days to Report: 
2-5/hpf",urin
Epithelial Cell ,u.Epit,,"Working Days: Everyday
Days to Report: 
Negative",urin
Bacteria ,u.Bact,,"Working Days: Everyday
Days to Report: 
Negative",urin
Crystals ,u.Crys,,"Working Days: Everyday
Days to Report: 
Negative",urin
Casts ,u.Casts,,"Working Days: Everyday
Days to Report: 
Negative",urin
Yeasts ,u.Yeast,,"Working Days: Everyday
Days to Report: 
Negative",urin
Mucus ,u.Mucus,,"Working Days: Everyday
Days to Report: 
Negative",urin
Others,,,"Working Days: Everyday
Days to Report: ",urin
Hemoglobin,Hb,,"Working Days: Everyday
Days to Report: ",urin
Starch,,,"Working Days: Everyday
Days to Report: ",urin
Sperm,Sperm,,"Working Days: Everyday
Days to Report: ",urin
Leukocyte,u.Luc,,"Working Days: Everyday
Days to Report: ",urin
Fat Droplets,Fat Dro,,"Working Days: Everyday
Days to Report: ",urin
RBC Dysmorphic,,,"Working Days: Everyday
Days to Report: ",urin
"Urin Sugar, ( Fasting )",U.sugar,,"Working Days: Everyday
Days to Report: ",urin
Chilo micron,,,"Working Days: Everyday
Days to Report: ",urin
Renal Cell,,,"Working Days: Everyday
Days to Report: ",urin
Clump WBC,,,"Working Days: Everyday
Days to Report: ",urin
Clump RBC,,,"Working Days: Everyday
Days to Report: ",urin
Transitional EP Cells,,,"Working Days: Everyday
Days to Report: ",urin
RBC Dysmorphic,,,"Working Days: Everyday
Days to Report: ",urin
Myoglobin,u. Myo,,"Working Days: Everyday
Days to Report: ",urin
Glandular Cell,,,"Working Days: Everyday
Days to Report: ",urin
Bence Jones Protein ,U.Bence jones,,"Working Days: Everyday
Days to Report: ",urin
Urinanalysis,Urin.A,,"Working Days: Everyday
Days to Report: ",urin
Urinanalysis,Urin.A,,"Working Days: Everyday
Days to Report: ",urin
Prostatic Specific Ag,PSA,ng/ml,"Working Days: Everyday
Days to Report: 
0.21-2.19",urin
Free PSA,s Free.PSA,ng/ml,"Working Days: Everyday
Days to Report: 
=<1.3",urin
Free PSA / Total PSA,,,"Working Days: Everyday
Days to Report: ",urin
